Timestamp,Reason,RawData
2023-09-08 09:48:00,Invalid frequency values,Row76
2023-09-08 09:49:00,Invalid frequency values,Row77
2023-09-08 09:50:00,Invalid frequency values,Row78
2023-09-08 09:51:00,Invalid frequency values,Row79
2023-09-08 09:52:00,Invalid frequency values,Row80
2023-09-08 09:53:00,Invalid frequency values,Row81
2023-09-08 09:54:00,Invalid frequency values,Row82
2023-09-08 09:55:00,Invalid frequency values,Row83
2023-09-08 09:56:00,Invalid frequency values,Row84
2023-09-08 09:57:00,Invalid frequency values,Row85
2023-09-08 09:58:00,Invalid frequency values,Row86
2023-09-08 09:59:00,Invalid frequency values,Row87
2023-09-08 10:00:00,Invalid frequency values,Row88
2023-09-08 10:01:00,Invalid frequency values,Row89
2023-09-08 10:02:00,Invalid frequency values,Row90
2023-09-08 10:03:00,Invalid frequency values,Row91
2023-09-08 10:04:00,Invalid frequency values,Row92
2023-09-08 10:05:00,Invalid frequency values,Row93
2023-09-08 10:06:00,Invalid frequency values,Row94
2023-09-08 10:07:00,Invalid frequency values,Row95
2023-09-08 10:08:00,Invalid frequency values,Row96
2023-09-08 10:09:00,Invalid frequency values,Row97
2023-09-08 10:10:00,Invalid frequency values,Row98
2023-09-08 10:11:00,Invalid frequency values,Row99
2023-09-08 10:12:00,Invalid frequency values,Row100
2023-09-08 10:13:00,Invalid frequency values,Row101
2023-09-08 10:14:00,Invalid frequency values,Row102
2023-09-08 10:15:00,Invalid frequency values,Row103
2023-09-08 10:16:00,Invalid frequency values,Row104
2023-09-08 10:17:00,Invalid frequency values,Row105
2023-09-08 10:18:00,Invalid frequency values,Row106
2023-09-08 10:19:00,Invalid frequency values,Row107
2023-09-08 10:20:00,Invalid frequency values,Row108
2023-09-08 10:21:00,Invalid frequency values,Row109
2023-09-08 10:22:00,Invalid frequency values,Row110
2023-09-08 10:23:00,Invalid frequency values,Row111
2023-09-08 10:24:00,Invalid frequency values,Row112
2023-09-08 10:25:00,Invalid frequency values,Row113
2023-09-08 10:26:00,Invalid frequency values,Row114
2023-09-08 10:27:00,Invalid frequency values,Row115
2023-09-08 10:28:00,Invalid frequency values,Row116
2023-09-08 10:29:00,Invalid frequency values,Row117
2023-09-08 10:30:00,Invalid frequency values,Row118
2023-09-08 10:31:00,Invalid frequency values,Row119
2023-09-08 10:32:00,Invalid frequency values,Row120
2023-09-08 10:33:00,Invalid frequency values,Row121
2023-09-08 10:34:00,Invalid frequency values,Row122
2023-09-08 10:35:00,Invalid frequency values,Row123
2023-09-08 10:36:00,Invalid frequency values,Row124
2023-09-08 10:37:00,Invalid frequency values,Row125
2023-09-08 10:38:00,Invalid frequency values,Row126
2023-09-08 10:39:00,Invalid frequency values,Row127
2023-09-08 10:40:00,Invalid frequency values,Row128
2023-09-08 10:41:00,Invalid frequency values,Row129
2023-09-08 10:42:00,Invalid frequency values,Row130
2023-09-08 10:43:00,Invalid frequency values,Row131
2023-09-08 10:44:00,Invalid frequency values,Row132
2023-09-08 10:45:00,Invalid frequency values,Row133
